"Data","Open","Close","High","Low","log_return"
"2021-02-08",8.1346290402,8.0204988538,8.3600361585,7.9320479593,-0.0318598625367592
"2021-02-09",8.0033793258,7.8578633381,8.094683475,7.8122112635,-0.0204858916163969
"2021-02-10",7.9149284313,7.9320479593,8.0005260711,7.7380266423,0.00939652739581711
"2021-02-11",8.0290586178,8.0119390898,8.1317757856,7.9520207419,0.0100215584578582
"2021-02-12",7.9349012139,8.1146562576,8.1289225309,7.8778361207,0.0127390257752179
"2021-02-17",8.1374822949,8.4427805437,8.4456337984,8.0262053631,0.0396398614789272
"2021-02-18",8.668187662,8.3514763945,8.8222634137,8.2858515373,-0.010873365711739
"2021-02-19",7.9976728165,7.7979449902,8.1289225309,7.7522929156,-0.0685781007573818
"2021-02-22",6.5054206285,6.1202312492,6.6195508149,6.1059649758,-0.242260354560893
"2021-02-23",6.576751995,6.8649307158,6.9219958091,6.4797413365,0.114826065159998
"2021-02-24",7.0047401942,6.9619413743,7.133136654,6.8506644425,0.0140324217534473
"2021-02-25",7.133136654,6.6166975603,7.2044680206,6.5910182683,-0.0508619810236453
"2021-02-26",6.6195508149,6.3456383674,6.6823224175,6.2686004916,-0.0418286818923026
"2021-03-01",6.5054206285,6.2771602555,6.5738987403,6.2543342182,-0.0108500160275041
"2021-03-02",6.231508181,6.2743070009,6.3713176594,5.8976773855,-0.000454648781829677
"2021-03-03",6.2200951623,6.0460466279,6.2457744543,5.843465547,-0.0370584322981205
"2021-03-04",6.0774324292,6.3399318581,6.391290442,6.0260738453,0.047463411940216
"2021-03-05",6.4027034606,6.3884371873,6.6252573243,6.3599046407,0.00762164639176157
"2021-03-08",6.2600407276,6.020367336,6.3570513861,5.9804217707,-0.0593413901211499
"2021-03-09",6.0945519572,6.1601768144,6.2628939822,5.9518892241,0.0229572040416179
"2021-03-10",6.2600407276,6.374170914,6.374170914,6.1573235597,0.0341485491111705
"2021-03-11",6.4540620446,6.6452301069,6.7022952001,6.4512087899,0.0416452902625103
"2021-03-12",6.6052845416,6.610991051,6.6709093988,6.5225401564,-0.00516574544600908
"2021-03-15",6.593871523,6.7479472747,6.753653784,6.5910182683,0.0205047764850163
"2021-03-16",6.7422407654,6.6423768522,6.7565070387,6.6281105789,-0.0157684920777987
"2021-03-17",6.602431287,6.8706372251,6.8849034985,6.593871523,0.0337869975733319
"2021-03-18",6.8135721319,6.6309638336,6.8192786412,6.5824585043,-0.0355066884458624
"2021-03-19",6.6395235976,6.8478111879,6.8592242065,6.6138443056,0.0321788983667233
"2021-03-22",6.7593602933,6.7108549641,6.7850395853,6.6281105789,-0.0202027073237778
